,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
194,Friedhelm Loh,3.0,2.7,2.4,2.7,3.6,6.8,8.2,9.7,8.9,9.7
195,Anthony von Mandl,,,,,,,3.3,8.7,8.4,9.0
196,James Dyson,4.5,4.9,4.0,4.2,5.6,5.7,5.9,9.7,9.2,9.3
197,Tanya Saadé Zeenny,,,,,,,,,,
198,Jacques Saadé Jr,,,,,,,,,,
199,Rodolphe Saadé,,,,,,10.5,7.0,10.9,41.4,9.8
200,Eric Smidt,,,,2.0,2.4,2.7,3.0,4.7,5.5,9.2
201,Leon Black,5.8,5.3,4.5,5.5,6.5,6.4,6.6,8.6,10.0,8.6
202,Michael Kim,,,,,1.0,1.0,1.5,1.9,7.5,9.7
203,Marijke Mars,,,,,5.9,6.0,6.2,7.8,7.9,9.6
204,Victoria Mars,,,,,5.9,6.0,6.2,7.8,7.9,9.6
205,Pamela Mars,,,,,5.9,6.0,6.2,7.8,7.9,9.6
206,Valerie Mars,,,,,5.9,6.0,6.2,7.8,7.9,9.6
207,Andrei Guriev,3.4,3.5,3.6,4.5,4.5,4.3,4.1,6.0,4.8,9.7
208,Liu Hanyuan,,,,1.0,1.6,2.1,2.4,10.3,13.7,11.4
209,Liu Yongxing,5.5,6.6,5.1,6.6,6.7,5.1,5.9,6.5,13.2,9.9
210,Ernesto Bertarelli,12.0,8.8,8.6,8.6,8.9,8.0,8.0,8.6,8.5,9.4
211,Daniel Kretinsky,,,,2.0,2.6,2.9,3.4,4.1,5.4,9.2
212,Lei Jun,4.0,13.2,9.8,6.8,12.5,9.6,9.2,23.0,11.7,9.7
213,James Goodnight,7.5,7.5,8.0,9.4,9.0,8.9,6.1,6.5,6.7,7.4
214,Andreas von Bechtolsheim,3.8,3.9,3.3,4.5,6.8,6.4,5.7,8.2,9.9,8.6
215,John Malone,7.5,8.3,6.3,7.7,8.1,7.2,5.8,7.8,7.4,9.2
216,Hasso Plattner,8.8,9.1,9.5,11.2,12.7,13.5,12.4,8.3,7.9,8.6
217,Georg Schaeffler,14.3,26.9,18.1,20.7,25.3,13.4,6.3,14.9,8.1,10.2
218,Wang Xing,,1.4,2.5,2.5,4.1,4.8,6.4,26.1,11.0,9.4
219,Patrick Ryan,1.6,2.6,2.3,2.5,2.6,3.0,2.9,3.4,8.0,8.0
